year,month_num,month_abb,chapter,commodity,value_thousand_usd
2019,11,Nov,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",36537.58778
2019,11,Nov,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",23096.06983
2019,11,Nov,95,"Toys, games and sports requisites; parts and accessories thereof.",4346.89234
2019,11,Nov,99,Others,33549.52929
2019,10,Oct,8,Edible fruits and nuts; peel of citrus fruit or melons.,7032.42638
2019,10,Oct,10,Cereals.,40599.77846
2019,10,Oct,22,"Beverages, spirits and vinegar.",2631.57704
2019,10,Oct,39,Plastics and articles thereof.,22657.99225
2019,10,Oct,40,Rubber and articles thereof.,21104.9619
2019,10,Oct,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",83681.53241
2019,10,Oct,43,Furskins and artificial fur; manufactures thereof.,31902.00326
2019,10,Oct,44,Wood and articles of wood; wood charcoal.,17342.50184
2019,10,Oct,61,"Articles of apparel and clothing accessories, knitted or crocheted.",453885.9642
2019,10,Oct,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",160832.254
2019,10,Oct,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,9353.97566
2019,10,Oct,64,"Footwear, gaiters and the like; parts of such articles.",87432.20334
2019,10,Oct,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",15380.10319
2019,10,Oct,73,Articles of iron or steel.,4298.8729
2019,10,Oct,74,Copper and articles thereof.,3210.47371
2019,10,Oct,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",10687.06205
2019,10,Oct,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",56293.83147
2019,10,Oct,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",39813.81596
2019,10,Oct,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",27291.67501
