year,month_num,month_abb,chapter,commodity,value_thousand_usd
2025,1,Jan,60,Knitted or crocheted fabrics.,276541.7409
2025,1,Jan,64,"Footwear, gaiters and the like; parts of such articles.",36726.98344
2025,1,Jan,72,Iron and steel.,70273.69779
2025,1,Jan,73,Articles of iron or steel.,74545.57068
2025,1,Jan,76,Aluminium and articles thereof,67665.47962
2025,1,Jan,83,Miscellaneous articles of base metal.,36103.79187
2025,1,Jan,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",196440.0124
2025,1,Jan,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",160304.7695
2025,1,Jan,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",171753.7194
2025,1,Jan,96,Miscellaneous manufactured articles.,30110.33427
2025,1,Jan,99,Others,551866.463
2024,12,Dec,23,Residues and waste from the food industries; prepared animal fodder.,33915.95878
2024,12,Dec,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",301321.3296
2024,12,Dec,38,Miscellaneous chemical products.,44127.53491
2024,12,Dec,39,Plastics and articles thereof.,118283.9836
2024,12,Dec,40,Rubber and articles thereof.,47927.34804
2024,12,Dec,41,Raw hides and skins (other than furskins) and leather.,38543.7927
2024,12,Dec,44,Wood and articles of wood; wood charcoal.,37274.38428
2024,12,Dec,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",63314.44568
2024,12,Dec,52,Cotton,68464.50975
2024,12,Dec,55,Man- made staple fibres.,128640.5022
2024,12,Dec,60,Knitted or crocheted fabrics.,229293.5014
2024,12,Dec,72,Iron and steel.,69399.03861
2024,12,Dec,73,Articles of iron or steel.,94175.66306
2024,12,Dec,74,Copper and articles thereof.,39572.83046
2024,12,Dec,76,Aluminium and articles thereof,79050.16844
2024,12,Dec,83,Miscellaneous articles of base metal.,36844.88739
2024,12,Dec,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",184893.0161
2024,12,Dec,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",178224.2243
2024,12,Dec,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",180320.351
2024,12,Dec,96,Miscellaneous manufactured articles.,30916.16294
2024,12,Dec,99,Others,595970.4701
2024,11,Nov,23,Residues and waste from the food industries; prepared animal fodder.,37329.88812
2024,11,Nov,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",306632.3812
2024,11,Nov,31,Fertilisers.,40898.44363
2024,11,Nov,38,Miscellaneous chemical products.,30902.68951
2024,11,Nov,39,Plastics and articles thereof.,117884.5377
2024,11,Nov,40,Rubber and articles thereof.,55912.28454
2024,11,Nov,41,Raw hides and skins (other than furskins) and leather.,34209.61058
2024,11,Nov,44,Wood and articles of wood; wood charcoal.,30230.57242
2024,11,Nov,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",60404.16293
2024,11,Nov,52,Cotton,69982.02759
2024,11,Nov,55,Man- made staple fibres.,117673.6138
2024,11,Nov,60,Knitted or crocheted fabrics.,230842.9952
2024,11,Nov,64,"Footwear, gaiters and the like; parts of such articles.",30356.3377
2024,11,Nov,72,Iron and steel.,57038.62975
2024,11,Nov,73,Articles of iron or steel.,81242.85839
2024,11,Nov,76,Aluminium and articles thereof,82654.69343
2024,11,Nov,83,Miscellaneous articles of base metal.,33710.37336
2024,11,Nov,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",139380.256
2024,11,Nov,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",208508.4183
2024,11,Nov,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",172109.4613
2024,11,Nov,99,Others,516722.884
2024,10,Oct,23,Residues and waste from the food industries; prepared animal fodder.,33717.87279
2024,10,Oct,24,Tobacco and manufactured tobacco substitutes,30766.53855
2024,10,Oct,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",302055.6929
2024,10,Oct,31,Fertilisers.,39696.97777
2024,10,Oct,39,Plastics and articles thereof.,107250.7199
2024,10,Oct,40,Rubber and articles thereof.,44690.93563
2024,10,Oct,41,Raw hides and skins (other than furskins) and leather.,36904.23732
2024,10,Oct,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",56316.32191
2024,10,Oct,52,Cotton,68344.20629
2024,10,Oct,55,Man- made staple fibres.,123790.6722
2024,10,Oct,60,Knitted or crocheted fabrics.,248602.8918
2024,10,Oct,64,"Footwear, gaiters and the like; parts of such articles.",31314.78738
2024,10,Oct,72,Iron and steel.,52155.15033
2024,10,Oct,73,Articles of iron or steel.,63130.42379
2024,10,Oct,74,Copper and articles thereof.,42074.40229
2024,10,Oct,76,Aluminium and articles thereof,61243.46971
2024,10,Oct,83,Miscellaneous articles of base metal.,32092.3576
2024,10,Oct,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",151227.0137
2024,10,Oct,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",136926.8391
2024,10,Oct,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",167538.019
2024,10,Oct,99,Others,553795.5316
2024,9,Sep,23,Residues and waste from the food industries; prepared animal fodder.,30188.44839
2024,9,Sep,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",271304.6154
2024,9,Sep,31,Fertilisers.,31521.84104
2024,9,Sep,39,Plastics and articles thereof.,91900.0141
2024,9,Sep,40,Rubber and articles thereof.,36935.84252
2024,9,Sep,41,Raw hides and skins (other than furskins) and leather.,30276.01942
2024,9,Sep,43,Furskins and artificial fur; manufactures thereof.,49777.77265
2024,9,Sep,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",56203.93678
2024,9,Sep,52,Cotton,55322.30257
2024,9,Sep,55,Man- made staple fibres.,97460.61952
2024,9,Sep,60,Knitted or crocheted fabrics.,237419.1401
2024,9,Sep,64,"Footwear, gaiters and the like; parts of such articles.",29316.23156
2024,9,Sep,72,Iron and steel.,48195.00849
2024,9,Sep,73,Articles of iron or steel.,65046.43759
2024,9,Sep,74,Copper and articles thereof.,28641.81173
2024,9,Sep,76,Aluminium and articles thereof,53147.87808
2024,9,Sep,83,Miscellaneous articles of base metal.,28762.04988
2024,9,Sep,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",155968.4257
2024,9,Sep,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",147846.2298
2024,9,Sep,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",149790.184
2024,9,Sep,99,Others,508616.0357
2024,8,Aug,23,Residues and waste from the food industries; prepared animal fodder.,32676.79729
2024,8,Aug,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",292558.9511
2024,8,Aug,31,Fertilisers.,35440.14176
2024,8,Aug,38,Miscellaneous chemical products.,45984.97288
2024,8,Aug,39,Plastics and articles thereof.,117739.2597
2024,8,Aug,40,Rubber and articles thereof.,44011.30963
2024,8,Aug,41,Raw hides and skins (other than furskins) and leather.,36696.69519
2024,8,Aug,44,Wood and articles of wood; wood charcoal.,36378.74968
2024,8,Aug,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",62290.81624
2024,8,Aug,52,Cotton,66566.41425
2024,8,Aug,55,Man- made staple fibres.,113880.6214
2024,8,Aug,60,Knitted or crocheted fabrics.,280701.932
2024,8,Aug,72,Iron and steel.,51889.3479
2024,8,Aug,73,Articles of iron or steel.,71775.78245
2024,8,Aug,74,Copper and articles thereof.,44956.76428
2024,8,Aug,76,Aluminium and articles thereof,69831.62355
2024,8,Aug,83,Miscellaneous articles of base metal.,36929.91584
2024,8,Aug,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",177903.0627
2024,8,Aug,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",155672.8872
2024,8,Aug,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",144260.0938
2024,8,Aug,99,Others,560750.7513
2024,7,Jul,23,Residues and waste from the food industries; prepared animal fodder.,34959.32666
